"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.65488960737149 41.995494465149356)","202","BERGER (ALBERT)","1,255","A Time of Trumpets","-87.6548896074","41.9954944651","Patricia Murphy, Patti Adachi, Ben Seamons","CPD","6,123","A Time of Trumpets"
"POINT (-87.75151521328536 41.922884803364504)","203","BLACKHAWK","122","Portrait of Chief Black Hawk","-87.7515152133","41.9228848034","Unknown","CPD","6,125",
"POINT (-87.65995723399772 41.98961327978971)","204","BROADWAY ARMORY","462","Building the Heart of Edgewater","-87.659957234","41.9896132798","Kathy Gemperle","CPD","6,126","Building the Heart of Edgewater"
"POINT (-87.58497536049869 41.80665946527712)","205","BURNHAM (DANIEL)","27","Don't Feed the Seagulls","-87.5849753605","41.8066594653","Jeff Zimmerman","CPD","6,127",
"POINT (-87.61721629766546 41.86358487035488)","206","BURNHAM (DANIEL)","27","Tribute to Freedom & Water Wall","-87.6172162977","41.8635848704","Anna Koh Varilla & Jeffrey Hanson Varilla","CPD","6,128","Tribute to Freedom and Water Wall"
"POINT (-87.65447902495724 41.97204524383607)","207","BUTTERCUP","385","Roosevelt Road Bridge Sculptures","-87.654479025","41.9720452438","Miklos Simon","CPD","6,129","Roosevelt Road Bridge Sculptures"
"POINT (-87.5305393050677 41.71794040112484)","208","CALUMET","11","Bas-relief Panels","-87.5305393051","41.7179404011","Frederick C. Hibbard","CPD","6,130",
"POINT (-87.53054480570148 41.717770754274625)","209","CALUMET","11","Illinois Heritage Series","-87.5305448057","41.7177707543","Tom Lea","CPD","6,131",
"POINT (-87.6686702222332 41.967749742627255)","210","CHASE (SALMON)","103","Common Threads","-87.6686702222","41.9677497426","Kamelia Hristeva, Anna Soltys","CPD","6,132",
"POINT (-87.61587636955383 41.73979700906502)","211","COLE (NAT KING)","270","Unforgettable","-87.6158763696","41.7397970091","Damon Lamar Reed","CPD","6,134","Unforgettable"
"POINT (-87.64960565719242 41.963678338510434)","212","CLARENDON COMM. CTR.","1,002","Lily, Birth-Rebirth","-87.6496056572","41.9636783385","Patricia Murphy","CPD","6,133",
"POINT (-87.768542373802 41.8764922598975)","213","COLUMBUS (CHRISTOPHER)","209","Columbus Ships","-87.7685423738","41.8764922599","Roy L. Terwilliger","CPD","6,135",
"POINT (-87.6741081953949 41.89679071336019)","214","COMMERCIAL CLUB PGD. of CHICAGO","1,006","Mosaic","-87.6741081954","41.8967907134","Kamelia Hristeva & Anna Soltys","CPD","6,136","Commercial Club Playground Mosaic"
"POINT (-87.67018601529695 41.80296909773428)","215","CORNELL (PAUL) SQUARE","5","Portrait of Ezra Cornell","-87.6701860153","41.8029690977","Unknown","CPD","6,137",
"POINT (-87.66724385592545 41.81312333398978)","216","DAVIS (DR. NATHAN) SQUARE","14","Constructive Recreation:The Vital Force in Character Building","-87.6672438559","41.813123334","William Edouard Scott","CPD","6,138",
"POINT (-87.66719050919718 41.81332855451678)","217","DAVIS (DR. NATHAN) SQUARE","14","Untitled Mural","-87.6671905092","41.8133285545","Unknown","CPD","6,139",
"POINT (-87.69979506776893 41.86248404766218)","218","DOUGLASS (ANNA & FREDERICK)","218","Douglass Park Mosaic","-87.6997950678","41.8624840477","Victor Velez","CPD","6,140",
"POINT (-87.69655429392311 41.85645536448827)","219","DOUGLASS (ANNA & FREDERICK)","218","You Are a Reflection of You","-87.6965542939","41.8564553645","Ginny Sykes & Julia Sowles-Barlow","CPD","6,142",
"POINT (-87.69644765905852 41.856459854610456)","220","DOUGLASS (ANNA & FREDERICK)","218","Route 66","-87.6964476591","41.8564598546","Dorian Sylvain","CPD","6,141",
"POINT (-87.65394798538635 41.855055759768575)","221","DVORAK (ANTON)","216","Unity","-87.6539479854","41.8550557598","Gabriel Villa","CPD","6,143",
"POINT (-87.7222683300846 41.97405515978765)","222","FIELD (EUGENE)","41","Participation of Youth in the Realm of the Arts","-87.7222683301","41.9740551598","Pottowattomie Art Class","CPD","6,144",
"POINT (-87.72247618824153 41.9739913637119)","223","FIELD (EUGENE)","41","Portrait of Eugene Field","-87.7224761882","41.9739913637","Josh Holland","CPD","6,145",
"POINT (-87.72218675520406 41.97402089817352)","224","FIELD (EUGENE)","41","Trumpet & Drum (Wynken, Blynken & Nod)","-87.7221867552","41.9740208982","Gerry Lang","CPD","6,146",
"POINT (-87.65794901370946 41.86493444527609)","225","FOSCO (PETER)","1,030","Imagining the Possibilities","-87.6579490137","41.8649344453","Corinne D. Peterson, Sonata Kazimieraitiene","CPD","6,147",
"POINT (-87.63496532907628 41.81205223025671)","226","FULLER (MELVILLE)","4","Community Quilt","-87.6349653291","41.8120522303","Millicent Gordon & the Soul Stitchers","CPD","6,148","Community Quilt"
"POINT (-87.63424959932199 41.81206619937052)","227","FULLER (MELVILLE)","4","Early Explorers Series","-87.6342495993","41.8120661994","John Warner Norton","CPD","6,149",
"POINT (-87.6346126036823 41.812320028307866)","228","FULLER (MELVILLE)","4","Untitled Mosaics","-87.6346126037","41.8123200283","Millicent Gordon","CPD","6,150",
"POINT (-87.68501662380022 41.79356813226258)","229","GAGE (GEORGE)","22","Old Crafts Room Mural","-87.6850166238","41.7935681323","Unknown","CPD","6,151",
"POINT (-87.68460642298916 41.793523158332924)","230","GAGE (GEORGE)","22","Pioneers","-87.684606423","41.7935231583","Tom Lea","CPD","6,152",
"POINT (-87.71779548349255 41.88622065709935)","232","GARFIELD (JAMES)","204","Palm Tree Relief","-87.7177954835","41.8862206571","Phil Schuster","CPD","6,154",
"POINT (-87.71142786234509 41.88411704264131)","233","GARFIELD (JAMES)","204","Playground Mosaics","-87.7114278623","41.8841170426","Mirtes Zwierzynski & Max Sansing","CPD","6,155","Garfield Playground Mosaics"
"POINT (-87.65041196818747 41.951693929646495)","234","GILL (JOSEPH)","364","Matriarchy for a New Millennium","-87.6504119682","41.9516939296","Tim Portlock & Beatriz Santiago Muñoz","Private","6,156",
"POINT (-87.60045879121526 41.75557820126683)","235","GRAND CROSSING","15","An Allegory of Recreation","-87.6004587912","41.7555782013","Chester Dryan","CPD","6,157",
"POINT (-87.61806105690401 41.86800448965119)","236","GRANT (ULYSSES)","24","Aqua Interlude & Reflection","-87.6180610569","41.8680044897","Mirtes Zwierzynski & Maria Gaspar","CPD","6,158","Aqua Interlude and Reflection"
"POINT (-87.61382831935661 41.88782261041387)","237","GRANT (ULYSSES)","24","Riverwalk Gateway Murals","-87.6138283194","41.8878226104","Ellen Lanyon","City of Chicago","6,218",
"POINT (-87.63771167650707 41.763177025824795)","238","HAMILTON (ALEXANDER)","9","Historical Series","-87.6377116765","41.7631770258","John Warner Norton","CPD","6,159",
"POINT (-87.60461332672266 41.78180453087859)","239","HARRIS (HARRIET)","524","Woodlawn Heroes","-87.6046133267","41.7818045309","Damon Lamar Reed","CPD","6,160",
"POINT (-87.69708498965957 41.73908878739072)","240","HAYES (FRANCIS)","242","In the Swim","-87.6970849897","41.7390887874","Laurie Shaman","City of Chicago","6,161",
"POINT (-87.68513372851326 41.922472513351316)","241","HOLSTEIN","203","Playground Art","-87.6851337285","41.9224725134","Bucktown Arts Fest","CPD","6,162",
"POINT (-87.68506504767768 41.921813743237664)","242","HOLSTEIN","203","Summer Day Camp","-87.6850650477","41.9218137432","Connie Hinkle","CPD","6,163",
"POINT (-87.60548512683232 41.8034540712878)","243","HOUSTON (JESSIE ""MA"")","278","Feed Your Child the Truth","-87.6054851268","41.8034540713","Bernard Williams, Stephanie George, Julia Barlow","CPD","6,164",
"POINT (-87.72478686519571 41.95297391708622)","244","INDEPENDENCE","83","May the Spirit of 1776 Live On","-87.7247868652","41.9529739171","Max Robert Decker","CPD","6,165",
"POINT (-87.58002725345864 41.792823394755224)","245","JACKSON (ANDREW)","19","57th Street Underpass Mural (The Path of Our Community)","-87.5800272535","41.7928233948","Mirtes Zwierzynski","City of Chicago","6,166","57th Street Underpass Mural"
"POINT (-87.65486000347302 41.7557258687266)","246","KING (MARTIN LUTHER, JR.)","334","We March, We Dance, We Sing for Freedom","-87.6548600035","41.7557258687","Damon Reed & Juan Carlos Perez","CPD","6,167",
"POINT (-87.61775409371998 41.897191297574516)","247","LAKE SHORE","107","Relief Sculpture","-87.6177540937","41.8971912976","Phil Schuster","CPD","6,168",
"POINT (-87.61375086664594 41.892767485643525)","248","ADDAMS (JANE) MEML.","1,224","Jane Addams Mosaic","-87.6137508666","41.8927674856","Mirtes Zwierzynski","City of Chicago & CPD","6,169",
"POINT (-87.64987532588829 41.97200100067253)","249","LINCOLN (ABRAHAM)","100","Alternatives","-87.6498753259","41.9720010007","Ginny Sykes & Julia Sowles-Barlow","CPD","6,170","Alternatives"
"POINT (-87.63438546554119 41.92656616799724)","250","LINCOLN (ABRAHAM)","100","American Bison","-87.6343854655","41.926566168","Chris Williams","Notebaert Museum","6,171","American Bison"
"POINT (-87.63422013539349 41.92613911172962)","251","LINCOLN (ABRAHAM)","100","Steelroots","-87.6342201354","41.9261391117","Steve Tobin","On loan to Notebaert Musuem","6,181","Steelroots"
"POINT (-87.64622372625384 41.95851744827914)","252","LINCOLN (ABRAHAM)","100","Buena Avenue Underpass Murals (Welcome to Buena Park)","-87.6462237263","41.9585174483","Jeff Littleton & Rachel Slotnick","CPD","6,172",
"POINT (-87.6456916250142 41.95858037520517)","253","LINCOLN (ABRAHAM)","100","Peace Garden Mosaic","-87.645691625","41.9585803752","Lynn Takata","CPD","6,179",
"POINT (-87.6453172029227 41.95833875259571)","254","LINCOLN (ABRAHAM)","100","Peace & Justice","-87.6453172029","41.9583387526","Margo McMahon","Soka Gakkai International","6,178","Peace and Justice"
"POINT (-87.65240710945996 41.98570376964887)","255","LINCOLN (ABRAHAM)","100","Come to Light","-87.6524071095","41.9857037696","Andy Bellomo, Will Nicholson, Brett Whitacre","CPD","6,173","Come to Light"
"POINT (-87.6358508653395 41.93848996561031)","256","LINCOLN (ABRAHAM)","100","Hug Chicago Mural","-87.6358508653","41.9384899656","Julia Sowles-Barlow, CPAG","City of Chicago","6,174",
"POINT (-87.65039233830102 41.97654733613924)","257","LINCOLN (ABRAHAM)","100","Indian Land Dancing","-87.6503923383","41.9765473361","Tracy van Duinen et al, CPAG","City of Chicago","6,175",
"POINT (-87.6358865427354 41.91961954010864)","258","LINCOLN (ABRAHAM)","100","Abraham Lincoln Portrait","-87.6358865427","41.9196195401","William Patterson","CPD","6,176",
"POINT (-87.65288134540856 41.983987828756106)","259","LINCOLN (ABRAHAM)","100","Living 2007 (North Wall); Growing 2008 (South Wall)","-87.6528813454","41.9839878288","Tracy van Duinen et al, CPAG","City of Chicago","6,177",
"POINT (-87.63839573445188 41.940506210365534)","260","LINCOLN (ABRAHAM)","100","Rhythm & Views","-87.6383957345","41.9405062104","Tracy van Duinen, Todd Osborne, Phil Schuster","City of Chicago","6,180",
"POINT (-87.62422809616636 41.90434178920534)","261","LINCOLN (ABRAHAM)","100","You Know What You Should Do","-87.6242280962","41.9043417892","Jeff Zimmerman","City of Chicago","6,182",
"POINT (-87.63229066743442 41.921983381906465)","262","LINCOLN (ABRAHAM)","100","Adelor","-87.6322906674","41.9219833819","Anna Koh Varilla & Jeffrey Hanson Varilla","Lincoln Park Zoo","6,183",
"POINT (-87.63384934899221 41.9191010787711)","263","LINCOLN (ABRAHAM)","100","Café Brauer Ceramic Tile Murals","-87.633849349","41.9191010788","Rookwood Potteries","CPD","6,184",
"POINT (-87.68243693293792 41.823602359951074)","264","MCKINLEY (WILLIAM)","23","Donnersberger Bas-relief","-87.6824369329","41.82360236","Paul Fjelde","CPD","6,185","Joseph Donnersberger Memorial"
"POINT (-87.60651159222888 41.866425445248474)","265","NORTHERLY ISLAND","34","Adler Planetarium Sculptural Relief Panels","-87.6065115922","41.8664254452","Alfonso Iannelli","Adler Planetarium","6,186",
"POINT (-87.6099097000312 41.86499701130174)","266","NORTHERLY ISLAND","34","Signal: Bon Voyage","-87.6099097","41.8649970113","Edmond Gueringer","CPD","6,187",
"POINT (-87.65541164256481 41.775048755895625)","267","OGDEN (WILLIAM)","8","Untitled Mosaic","-87.6554116426","41.7750487559","Darlene McGhee","CPD","6,188",
"POINT (-87.65524654003755 41.77523571748846)","268","OGDEN (WILLIAM)","8","Untitled Mural","-87.65524654","41.7752357175","Jesse Shipley & Victoria Bianco","CPD","6,189",
"POINT (-87.61657220611924 41.69191943434647)","269","PALMER (POTTER)","13","Early Settlement Series","-87.6165722061","41.6919194343","James Edwin McBurney","CPD","6,190",
"POINT (-87.70453570675762 41.92111789526833)","270","PALMER SQUARE","539","Velveteen Rabbit Playground Art","-87.7045357068","41.9211178953","Roman Villareal et al, CPAG","CPD","6,191","Velveteen Rabbit Playground Art"
"POINT (-87.7207065474378 41.98690978026074)","271","PETERSON (PAHR SAMUEL)","452","Mural","-87.7207065474","41.9869097803","Unknown","CPD","6,192",
"POINT (-87.63252425953884 41.859076054544296)","272","TOM (PING) MEML.","481","Return of the Yellow Cranes","-87.6325242595","41.8590760545","Liu Zhengde","CPD","6,193",
"POINT (-87.76372380575803 41.95568323794347)","273","PORTAGE","147","The Nature of the Place","-87.7637238058","41.9556832379","Corinne D. Peterson & Sonata Kazimieraitiene","CPD","6,194",
"POINT (-87.66315366926766 41.90684187200154)","274","PULASKI (CASIMER)","217","Proscenium Arch Mural","-87.6631536693","41.906841872","James G. Gilbert","CPD","6,196",
"POINT (-87.66353209398567 41.90690395691466)","275","PULASKI (CASIMER)","217","Tower Room Mural","-87.663532094","41.9069039569","Unknown","CPD","6,197",
"POINT (-87.7019588269405 41.97414148777934)","276","RIVER","186","Pottawattomie Village","-87.7019588269","41.9741414878","Pottawattomie Art Class, George Hruska","CPD","6,198",
"POINT (-87.70342993274369 41.97027400644728)","277","RONAN (GEORGE)","275","Multi-Ethnic Sculpture Park (Happy Family)","-87.7034299327","41.9702740064","Shenchen Xu & Indira Johnson","North River Commission","6,199","Multi-ethnic Sculpture Park and Healing Garden"
